,Club,Value,,,,
,Barcelona,799000000,,,,
,Real Madrid,870500000,,,,
,Atlético Madrid,435500000,,,,
,Real Sociedad,362600000,,,,
,Villarreal,278200000,,,,
,Betis,225400000,,,,
,Osasuna,145600000,,,,
,Athletic Club,218200000,,,,
,Mallorca,101800000,,,,
,Girona,131400000,,,,
,Rayo Vallecano,100800000,,,,
,Sevilla,201500000,,,,
,Celta Vigo,136000000,,,,
,Cádiz,57150000,,,,
,Getafe,118100000,,,,
,Valencia,202300000,,,,
,Almería,96600000,,,,
,Valladolid,76700000,,,,
,Espanyol,106100000,,,,
,Elche,39000000,,,,
